"Sampl","Ind","Obs","S1","S2","Q1","Q2","Jack1ab","Jack1abP","Jack1in","Jack1inP","Jack2ab","Jack2abP","Jack2in","Jack2inP","Chao1","Chao1P","Chao2","Chao2P"
21,19.02,8.95,4.28,2.02,4.28,2.02,13.23,16.7870474605853,13.0261904761905,16.5216609168517,15.49,19.9344718185855,15.1623333333333,19.4790643077749,12.558,16.2503207500643,12.558,16.2503207500643
22,19.91,9.15,4.25,2.12,4.25,2.12,13.4,16.8488586363374,13.2068181818182,16.5992696447493,15.53,19.8278522275894,15.2349567099567,19.416188676783,12.806119047619,16.4070244262243,12.806119047619,16.4070244262243
23,20.85,9.34,4.33,2.03,4.33,2.03,13.67,17.1931004603833,13.4817391304348,16.9497067343143,15.97,20.3812254460006,15.6659881422925,19.9606203476514,13.2069523809524,16.920715743424,13.2069523809524,16.920715743424
24,21.69,9.5,4.33,2.02,4.33,2.02,13.83,17.2717665732664,13.6495833333333,17.0402200350428,16.14,20.4493006408675,15.8475905797101,20.0477980439215,13.589119047619,17.3352150132813,13.589119047619,17.3352150132813
25,22.63,9.65,4.23,2.07,4.23,2.07,13.88,17.0844361011442,13.7108,16.8706158554556,16.04,20.0025120060135,15.77735,19.648297180367,13.3516666666667,16.6900303189169,13.3516666666667,16.6900303189169
26,23.59,9.77,4.17,2.08,4.17,2.08,13.94,16.9725646946707,13.7796153846154,16.7724288376461,16.03,19.7476957432259,15.7856461538462,19.4237523126479,13.323,16.453902527437,13.323,16.453902527437
27,24.48,9.91,4.1,2.15,4.1,2.15,14.01,16.854509129625,13.8581481481481,16.6676595173081,15.96,19.4003225114673,15.7402706552707,19.1138943491676,13.1531666666667,15.9964955266112,13.1531666666667,15.9964955266112
28,25.54,10.02,3.99,2.19,3.99,2.19,14.01,16.6420710322415,13.8675,16.4691397455541,15.81,18.9521008542553,15.614246031746,18.7012483915723,12.8154523809524,15.3239730728209,12.8154523809524,15.3239730728209
29,26.26,10.1,3.94,2.21,3.94,2.21,14.04,16.5982479662874,13.9041379310345,16.43403157663,15.77,18.8268737373583,15.5883128078818,18.5932059857586,12.9349166666667,15.4027723192828,12.9349166666667,15.4027723192828
30,27.14,10.27,3.99,2.18,3.99,2.18,14.26,16.8698703790028,14.127,16.7087469441249,16.07,19.2144561723408,15.8864942528736,18.9771365386932,13.4079444444444,16.0305889968891,13.4079444444444,16.0305889968891
31,27.83,10.36,3.97,2.23,3.97,2.23,14.33,16.8608164151216,14.201935483871,16.706759960523,16.07,19.0854731103578,15.8992150537634,18.8674406415744,13.15475,15.577886152001,13.15475,15.577886152001
32,28.58,10.5,4.01,2.23,4.01,2.23,14.51,17.0722434543864,14.3846875,16.9214152937256,16.29,19.3575988052211,16.120877016129,19.1407851021788,13.4544285714286,15.9418607256699,13.4544285714286,15.9418607256699
33,29.45,10.6,3.95,2.2,3.95,2.2,14.55,17.0013277829913,14.430303030303,16.8582524568126,16.3,19.2293422390958,16.1388257575758,19.0244342285903,13.6128333333333,16.0440698296912,13.6128333333333,16.0440698296912
34,30.34,10.73,3.93,2.21,3.93,2.21,14.66,17.0631397644399,14.5444117647059,16.925412304358,16.38,19.2556318364281,16.226265597148,19.059957186965,13.7858333333333,16.2060740999309,13.7858333333333,16.2060740999309
35,31.19,10.82,3.93,2.14,3.93,2.14,14.75,17.1216717396604,14.6377142857143,16.9882662492695,16.54,19.3889741401271,16.3847731092437,19.1926155396138,14.0494523809524,16.499039631485,14.0494523809524,16.499039631485
36,31.97,10.92,3.98,2.07,3.98,2.07,14.9,17.2912546077592,14.7894444444444,17.1600334978157,16.81,19.6949583761578,16.6491904761905,19.492808255625,14.3444523809524,16.8657437948802,14.3444523809524,16.8657437948802
37,32.95,10.99,3.88,2.13,3.88,2.13,14.87,17.114504431879,14.7651351351351,16.9911135797078,16.62,19.3041170943251,16.476509009009,19.1247972621839,14.145619047619,16.4789103753676,14.145619047619,16.4789103753676
38,34.13,11.15,3.93,2.09,3.93,2.09,15.08,17.3284483238318,14.9765789473684,17.2071183118864,16.92,19.600839284018,16.7732503556188,19.4197770179622,14.302619047619,16.6224334311337,14.302619047619,16.6224334311337
39,34.79,11.25,3.96,2.09,3.96,2.09,15.21,17.4855616264916,15.1084615384615,17.3662776406966,17.08,19.8065409545426,16.9347435897436,19.6264311438032,14.5771666666667,16.9692263198043,14.5771666666667,16.9692263198043
40,35.5,11.29,3.94,2.09,3.94,2.09,15.23,17.4637009762832,15.1315,17.3483554840106,17.08,19.7531878130777,16.9399102564103,19.5799863433603,14.5475,16.8704534530398,14.5475,16.8704534530398
41,36.36,11.43,3.99,2.08,3.99,2.08,15.42,17.6711532030477,15.3226829268293,17.557352935683,17.33,20.0228256047861,17.1889756097561,19.8493409543173,14.7025,17.007860437009,14.7025,17.007860437009
42,37.25,11.54,3.95,2.09,3.95,2.09,15.49,17.6479654356542,15.3959523809524,17.5387689030603,17.35,19.9137266875395,17.2159291521487,19.7505390411406,14.6966666666667,16.8827492901111,14.6966666666667,16.8827492901111
43,37.91,11.63,3.97,2.09,3.97,2.09,15.6,17.7452435728323,15.5076744186047,17.6383236075324,17.48,20.0221263654619,17.3476799557032,19.8619890965878,14.7858333333333,16.9502630746809,14.7858333333333,16.9502630746809
44,38.78,11.69,4,2.03,4,2.03,15.69,17.849110435147,15.5990909090909,17.7438506869148,17.66,20.2249536552418,17.5246088794926,20.061772174748,15.0318333333333,17.2415992332228,15.0318333333333,17.2415992332228
45,39.72,11.73,3.94,2,3.94,2,15.67,17.7705296609083,15.5824444444444,17.6694050522697,17.61,20.1131670428634,17.4796565656566,19.9558760810326,15.0906666666667,17.2633650599072,15.0906666666667,17.2633650599072
46,40.58,11.84,3.99,1.99,3.99,1.99,15.83,17.9753461651541,15.7432608695652,17.875019510886,17.83,20.3894471385428,17.6986038647343,20.2309425218614,15.2361666666667,17.4359917331755,15.2361666666667,17.4359917331755
47,41.33,11.9,4,1.96,4,1.96,15.9,18.0339934662352,15.8148936170213,17.9357269192188,17.94,20.4834413936214,17.80888066605,20.3260903789305,15.2605,17.4302189675684,15.2605,17.4302189675684
48,42.04,11.93,3.96,1.95,3.96,1.95,15.89,17.9811458747956,15.8075,17.8860864187747,17.9,20.3873692019214,17.7735106382979,20.2360242907128,15.1195,17.2101247371071,15.1195,17.2101247371071
49,42.69,11.98,3.97,1.9,3.97,1.9,15.95,18.0489298646034,15.8689795918367,17.9555405789453,18.02,20.5272438395424,17.8924574829932,20.3746184256761,15.2378333333333,17.352808254344,15.2378333333333,17.352808254344
50,43.48,12.03,3.97,1.89,3.97,1.89,16,18.0940686703698,15.9206,18.0025854532505,18.08,20.5842069309021,17.9544285714286,20.4339480138026,15.3343333333333,17.4524455848873,15.3343333333333,17.4524455848873
51,44.31,12.09,3.93,1.91,3.93,1.91,16.02,18.0472553826391,15.9429411764706,17.9588698515205,18.04,20.4587500056401,17.9204274509804,20.3160753543012,15.318,17.3697961389108,15.318,17.3697961389108
52,45.29,12.2,4.01,1.83,4.01,1.83,16.21,18.2991509198552,16.1328846153846,18.2105111618846,18.39,20.8934143049938,18.2635407239819,20.7429854581025,15.6031666666667,17.7348326596525,15.6031666666667,17.7348326596525
53,46.14,12.26,4.04,1.78,4.04,1.78,16.3,18.4134750811008,16.2237735849057,18.3257793653792,18.56,21.1008262090772,18.4314296081277,20.948000629335,15.7761666666667,17.948983816361,15.7761666666667,17.948983816361
54,47.1,12.35,4.08,1.76,4.08,1.76,16.43,18.5614890035269,16.3544444444444,18.4745876966388,18.75,21.3154389172749,18.6204961565339,21.1617642991952,16.0116666666667,18.2279447626116,16.0116666666667,18.2279447626116
55,47.85,12.44,4.1,1.8,4.1,1.8,16.54,18.6835987718749,16.4654545454545,18.5978478297144,18.84,21.4189050917958,18.7139393939394,21.2690395634032,16.1161666666667,18.3489661563151,16.1161666666667,18.3489661563151
56,48.81,12.47,4.05,1.82,4.05,1.82,16.52,18.589583220416,16.4476785714286,18.5068056636816,18.75,21.2247690877647,18.6299448051948,21.0829489496406,15.9623333333333,18.0779943047178,15.9623333333333,18.0779943047178
57,49.71,12.52,4.04,1.76,4.04,1.76,16.56,18.6090312349346,16.4891228070175,18.528026745719,18.84,21.2979326464562,18.7194486215539,21.1558073984582,16.208,18.349486460643,16.208,18.349486460643
58,50.63,12.63,4.1,1.73,4.1,1.73,16.73,18.801844922152,16.6593103448276,18.7211185512458,19.1,21.5837411618169,18.9768905021174,21.4392751938025,16.3936666666667,18.5667287756164,16.3936666666667,18.5667287756164
59,51.3,12.68,4.1,1.7,4.1,1.7,16.78,18.8581341066688,16.7105084745763,18.7786949534642,19.18,21.6811963014409,19.0574693161894,21.537106099882,16.6208333333333,18.8442663323445,16.6208333333333,18.8442663323445
60,52.23,12.78,4.13,1.74,4.13,1.74,16.91,18.9810719182501,16.8411666666667,18.9025802202971,19.3,21.7816412983038,19.1800084745763,21.641073582833,16.6368333333333,18.8198854022144,16.6368333333333,18.8198854022144
61,53.09,12.82,4.11,1.68,4.11,1.68,16.93,18.9681352336488,16.8626229508197,18.8914735161406,19.36,21.8064853617903,19.2400327868852,21.6663921820894,16.7376666666667,18.9079087182661,16.7376666666667,18.9079087182661
62,54.14,12.93,4.16,1.65,4.16,1.65,17.09,19.1493777546518,17.0229032258065,19.0730823823419,19.6,22.0715895535554,19.4781121099947,21.9297141277268,17.0128333333333,19.2223439405431,17.0128333333333,19.2223439405431
63,55.16,13.01,4.17,1.64,4.17,1.64,17.18,19.2184250441977,17.1138095238095,19.1433717842333,19.71,22.1450084871138,19.5891039426523,22.005186087647,16.892,19.0166358853699,16.892,19.0166358853699
64,56.16,13.09,4.19,1.63,4.19,1.63,17.28,19.3142677904153,17.21453125,19.24012176214,19.84,22.2704922145919,19.719595734127,22.1314754642062,16.9173333333333,19.0215668823421,16.9173333333333,19.0215668823421
65,56.98,13.18,4.24,1.63,4.24,1.63,17.42,19.4904297237755,17.3547692307692,19.4164530811762,20.03,22.5092136472745,19.9091466346154,22.3694549426694,17.1458333333333,19.3153500246637,17.1458333333333,19.3153500246637
66,57.83,13.23,4.24,1.6,4.24,1.6,17.47,19.5172176694197,17.4057575757576,19.4445310753172,20.11,22.5559404404163,19.989627039627,22.4174067497906,17.117,19.2393849469807,17.117,19.2393849469807
67,58.71,13.28,4.26,1.6,4.26,1.6,17.54,19.5852713775241,17.4764179104478,19.5134279517291,20.2,22.6376492109522,20.0805336951606,22.5005773107456,17.0886666666667,19.1634851582499,17.0886666666667,19.1634851582499
68,59.68,13.37,4.32,1.56,4.32,1.56,17.69,19.7904243573392,17.6264705882353,19.7184665577283,20.45,22.9676003657803,20.3278928884987,22.8270541998317,17.5058333333333,19.6929195833438,17.5058333333333,19.6929195833438
69,60.61,13.4,4.32,1.54,4.32,1.54,17.72,19.8259192524125,17.6573913043478,19.7549561421814,20.5,23.0308814792363,20.3788022165388,22.8911747898392,17.7091666666667,19.9574631681257,17.7091666666667,19.9574631681257
70,61.72,13.49,4.33,1.56,4.33,1.56,17.82,19.9021218467863,17.7581428571429,19.8322087113619,20.59,23.0810665086246,20.4709627329193,22.9444709558672,17.5616666666667,19.7141818069516,17.5616666666667,19.7141818069516
71,62.51,13.55,4.37,1.55,4.37,1.55,17.92,20.032600562892,17.8584507042254,19.9629685949443,20.74,23.2718327932807,20.6205331991952,23.1346208403882,17.8233333333333,20.0349594180837,17.8233333333333,20.0349594180837
72,63.31,13.6,4.4,1.53,4.4,1.53,18,20.1194317542115,17.9388888888889,20.0503499894505,20.87,23.4121043794098,20.750117370892,23.2745808106295,18.0466666666667,20.2862057107238,18.0466666666667,20.2862057107238
73,64.2,13.66,4.42,1.52,4.42,1.52,18.08,20.2033308521927,18.0194520547945,20.1349181873881,20.98,23.525894598842,20.8605327245053,23.3890328541577,18.1208333333333,20.3637705281767,18.1208333333333,20.3637705281767
74,65.27,13.74,4.45,1.5,4.45,1.5,18.19,20.3488015474827,18.1298648648649,20.2807171903409,21.14,23.7419990724966,21.0201277304702,23.6041324855137,18.5185,20.8512188550068,18.5185,20.8512188550068
75,66.02,13.78,4.44,1.49,4.44,1.49,18.22,20.3765908182699,18.1608,20.3095472698497,21.17,23.776443486982,21.0517315315315,23.6401559724024,18.7926666666667,21.1746231174817,18.7926666666667,21.1746231174817
76,66.75,13.88,4.52,1.49,4.52,1.49,18.4,20.6264492806458,18.3405263157895,20.5589272279712,21.43,24.1294812732575,21.3101333333333,23.9909179675824,19.1853333333333,21.6691033187197,19.1853333333333,21.6691033187197
77,67.64,13.9,4.5,1.5,4.5,1.5,18.4,20.6069786160312,18.3415584415584,20.5406717307549,21.4,24.0728588302551,21.2828605604921,23.9375443328534,19.162,21.6308186758543,19.162,21.6308186758543
78,68.31,13.91,4.44,1.55,4.44,1.55,18.35,20.4902683746077,18.2930769230769,20.4258868756495,21.24,23.8226485312009,21.1285880785881,23.6941987821274,19.0545,21.4626545212742,19.0545,21.4626545212742
79,69.17,13.95,4.4,1.57,4.4,1.57,18.35,20.4590811932547,18.2943037974684,20.3961343571946,21.18,23.7231512509476,21.0722768581629,23.5989219222408,18.9986666666667,21.3782853825884,18.9986666666667,21.3782853825884
80,69.85,13.96,4.39,1.55,4.39,1.55,18.35,20.4460016043315,18.295125,20.3840201772551,21.19,23.7213177949004,21.0832547468354,23.5982271089605,19.0461666666667,21.4249187062092,19.0461666666667,21.4249187062092
81,70.75,13.99,4.34,1.58,4.34,1.58,18.33,20.3790284778832,18.2764197530864,20.3186270188082,21.09,23.5622744424397,20.9875339506173,23.4441126671752,19.003,21.3271838131065,19.003,21.3271838131065
82,71.63,14.06,4.35,1.63,4.35,1.63,18.41,20.4500255100418,18.3569512195122,20.3902935248311,21.13,23.5843414329556,21.0302423968684,23.4694057996927,18.9048333333333,21.1818709128419,18.9048333333333,21.1818709128419
83,72.5,14.11,4.38,1.64,4.38,1.64,18.49,20.5406037121487,18.4372289156627,20.481208018233,21.23,23.695164079507,21.1307228915663,23.5808829845029,18.9848333333333,21.2732543196052,18.9848333333333,21.2732543196052
84,73.2,14.17,4.44,1.62,4.44,1.62,18.61,20.70713803215,18.5571428571429,20.647558590726,21.43,23.9552423035674,21.3290533562823,23.8389866334023,19.1966666666667,21.548824607249,19.1966666666667,21.548824607249
85,74,14.2,4.41,1.65,4.41,1.65,18.61,20.650483266334,18.5581176470588,20.592229481667,21.37,23.8106257807847,21.2723571428571,23.6988404386525,19.001,21.2576623678246,19.001,21.2576623678246
86,74.66,14.24,4.41,1.65,4.41,1.65,18.65,20.6940828378532,18.5987209302326,20.6364799358729,21.41,23.8592385588454,21.3134952120383,23.7485814586125,19.1205,21.3966372900764,19.1205,21.3966372900764
87,75.35,14.26,4.39,1.68,4.39,1.68,18.65,20.6625972456886,18.5995402298851,20.6060255227703,21.36,23.7632510877512,21.2663271852446,23.656088594126,19.0171666666667,21.2457794668643,19.0171666666667,21.2457794668643
88,76.08,14.3,4.41,1.69,4.41,1.69,18.71,20.7217648540389,18.6598863636364,20.6656361745863,21.43,23.8276779181698,21.337051985371,23.7215550445458,18.9863333333333,21.1950847577109,18.9863333333333,21.1950847577109
89,76.92,14.36,4.44,1.66,4.44,1.66,18.8,20.8292701929213,18.7501123595506,20.7733823476035,21.58,24.0012190770644,21.4860801838611,23.8940693611856,19.2115,21.4526828228069,19.2115,21.4526828228069
90,78.04,14.43,4.43,1.69,4.43,1.69,18.86,20.868782565802,18.8107777777778,20.8137233834593,21.6,23.9889747119331,21.5084556803995,23.8847392016607,18.9988333333333,21.1383658467402,18.9988333333333,21.1383658467402
91,78.86,14.48,4.46,1.65,4.46,1.65,18.94,20.9749250726752,18.890989010989,20.9200397783276,21.75,24.1779755186755,21.6571611721612,24.0721617052738,19.2123333333333,21.3984257614122,19.2123333333333,21.3984257614122
92,79.68,14.52,4.46,1.67,4.46,1.67,18.98,21.0280418858041,18.9315217391304,20.9736924987205,21.77,24.218215845248,21.6788222646918,24.1139722403053,19.3203333333333,21.5319176881483,19.3203333333333,21.5319176881483
93,80.64,14.57,4.49,1.64,4.49,1.64,19.06,21.1239857035732,19.0117204301075,21.0698489362216,21.91,24.3814418376094,21.8178728377747,24.2761548862041,19.4508333333333,21.6841218479275,19.4508333333333,21.6841218479275
94,81.46,14.62,4.51,1.64,4.51,1.64,19.13,21.2095197160607,19.0820212765957,21.1556902587395,22,24.490324933195,21.9082166552276,24.385414864635,19.4625,21.698523645507,19.4625,21.698523645507
95,82.47,14.7,4.54,1.65,4.54,1.65,19.24,21.3181627252572,19.1922105263158,21.2646142739331,22.13,24.6139952865487,22.0385520716685,24.5097157733798,19.5085,21.7376762648556,19.5085,21.7376762648556
96,83.4,14.74,4.5,1.68,4.5,1.68,19.24,21.2804492262404,19.193125,21.2280066777948,22.06,24.4931007560304,21.9716907894737,24.3925056333208,19.4288333333333,21.617453952315,19.4288333333333,21.617453952315
97,84.26,14.87,4.6,1.67,4.6,1.67,19.47,21.5764571750338,19.4225773195876,21.5233259590796,22.4,24.9172747774105,22.309202104811,24.8137558362776,19.8196666666667,22.1056042068825,19.8196666666667,22.1056042068825
98,85.2,14.91,4.56,1.72,4.56,1.72,19.47,21.5283691006203,19.4234693877551,21.4763606255691,22.31,24.7629646401122,22.2228802861351,24.6637505082999,19.7865,22.0273582582101,19.7865,22.0273582582101
99,86.11,14.95,4.56,1.72,4.56,1.72,19.51,21.5724926065007,19.4639393939394,21.520980847461,22.35,24.8125994294469,22.263762110905,24.7142227067848,19.9223333333333,22.1943206680248,19.9223333333333,22.1943206680248
100,86.92,15,4.57,1.75,4.57,1.75,19.57,21.6277897738391,19.5243,21.5767196066871,22.39,24.8415710479998,22.3052232323232,24.7449663738718,19.8335,22.0751024088695,19.8335,22.0751024088695
101,87.74,15.04,4.58,1.75,4.58,1.75,19.62,21.6776001986494,19.5746534653465,21.626947113829,22.45,24.9014112694013,22.3657673267327,24.8054671632903,19.8953333333333,22.1232383770141,19.8953333333333,22.1232383770141
102,88.69,15.08,4.61,1.72,4.61,1.72,19.69,21.7796027875389,19.6448039215686,21.7290365940346,22.58,25.0772065101407,22.4948330421277,24.9800376035242,20.0561666666667,22.3338853307166,20.0561666666667,22.3338853307166
103,89.69,15.13,4.65,1.68,4.65,1.68,19.78,21.901143072659,19.734854368932,21.8505783023584,22.75,25.2927218559321,22.6633352370074,25.1937650978663,20.3945,22.7539969948683,20.3945,22.7539969948683
104,90.64,15.22,4.69,1.69,4.69,1.69,19.91,22.0499997664964,19.8649038461538,21.9994903774918,22.91,25.4750020615405,22.8233037714712,25.3760332710878,20.6053333333333,22.9958114723909,20.6053333333333,22.9958114723909
105,91.75,15.25,4.63,1.75,4.63,1.75,19.88,21.9562298088037,19.8359047619048,21.9069863126697,22.76,25.2360659171599,22.677554029304,25.1421831702008,20.2395,22.5056678760756,20.2395,22.5056678760756
106,92.56,15.36,4.69,1.8,4.69,1.8,20.05,22.1452198848409,20.0057547169811,22.0958465729714,22.94,25.4291258105777,22.8580458221024,25.3360099047611,20.2313333333333,22.4935885408822,20.2313333333333,22.4935885408822
107,93.5,15.39,4.69,1.78,4.69,1.78,20.08,22.1663344556693,20.0361682242991,22.1174590853833,22.99,25.4682757075095,22.9082542761418,25.3755279521354,20.2218333333333,22.466622371369,20.2218333333333,22.466622371369
108,94.54,15.45,4.7,1.78,4.7,1.78,20.15,22.2273348970504,20.1064814814815,22.1788652683532,23.07,25.5340456244976,22.9887348563517,25.4420257082046,20.1745,22.3900213664914,20.1745,22.3900213664914
109,95.21,15.45,4.68,1.79,4.68,1.79,20.13,22.1943566703493,20.0870642201835,22.1465473783635,23.02,25.4676752010509,22.9403066598709,25.3774192463921,20.1245,22.3257506102044,20.1245,22.3257506102044
110,96.13,15.49,4.68,1.82,4.68,1.82,20.17,22.2257882939741,20.1274545454545,22.1784504819963,23.03,25.4623394610444,22.951848206839,25.3739055294529,20.0936666666667,22.2731559500773,20.0936666666667,22.2731559500773
111,97.1,15.58,4.75,1.81,4.75,1.81,20.33,22.4286214264527,20.2872072072072,22.3809684876556,23.27,25.7581000796898,23.1903923013923,25.6679536461827,20.4536666666667,22.717195196607,20.4536666666667,22.717195196607
112,98.03,15.6,4.73,1.8,4.73,1.8,20.33,22.4017793514228,20.2877678571429,22.3548201560381,23.26,25.7127249764966,23.1813730694981,25.6238822016086,20.4105,22.6376821738646,20.4105,22.6376821738646
113,98.98,15.63,4.73,1.8,4.73,1.8,20.36,22.4273919728415,20.3181415929204,22.3808668695789,23.29,25.7376140288384,23.2120701643489,25.6495781782199,20.388,22.5918385989193,20.388,22.5918385989193
114,100.05,15.66,4.71,1.83,4.71,1.83,20.37,22.4106229778769,20.3286842105263,22.3647643834453,23.25,25.6596705874136,23.1740684676293,25.574015722347,20.3246666666667,22.4894077693639,20.3246666666667,22.4894077693639
115,101.08,15.71,4.72,1.83,4.72,1.83,20.43,22.4635040501125,20.3889565217391,22.4179922231763,23.32,25.7182404070412,23.2444691075515,25.633183278299,20.3568333333333,22.5077105412919,20.3568333333333,22.5077105412919
116,102.31,15.75,4.66,1.9,4.66,1.9,20.41,22.3753160292032,20.3698275862069,22.3309193093285,23.17,25.4748391377608,23.0984782608696,25.3945253469925,20.0491666666667,22.070349104031,20.0491666666667,22.070349104031
117,103.21,15.77,4.65,1.9,4.65,1.9,20.42,22.3704869967433,20.3802564102564,22.3266010386835,23.17,25.4552666513425,23.0993471853817,25.3760186998807,20.0363333333333,22.0418798446034,20.0363333333333,22.0418798446034
118,103.88,15.81,4.68,1.87,4.68,1.87,20.49,22.4593399567705,20.4503389830508,22.4155267833676,23.3,25.6112394445393,23.2284238736781,25.5309602344002,20.1696666666667,22.2009773905398,20.1696666666667,22.2009773905398
119,104.71,15.86,4.71,1.87,4.71,1.87,20.57,22.555378401048,20.5304201680672,22.5116479684661,23.41,25.739564453154,23.3382701894317,25.6591470198916,20.2816666666667,22.3307938974987,20.2816666666667,22.3307938974987
120,105.85,15.91,4.74,1.86,4.74,1.86,20.65,22.6585144260207,20.6105,22.614844651425,23.53,25.8900206143117,23.4578697478992,25.8090922826602,20.4525,22.5351473229678,20.4525,22.5351473229678
121,106.78,15.99,4.8,1.85,4.8,1.85,20.79,22.8427066560302,20.7503305785124,22.7987879147763,23.74,26.1554969553763,23.6667320936639,26.0732238227898,20.6508333333333,22.7892953839874,20.6508333333333,22.7892953839874
122,107.64,16.08,4.87,1.86,4.87,1.86,20.95,23.0636628867837,20.9100819672131,23.0193617923877,23.96,26.4549262295097,23.8858576073703,26.3713981124807,20.942,23.1648659210911,20.942,23.1648659210911
123,108.66,16.16,4.93,1.83,4.93,1.83,21.09,23.2534122698567,21.049918699187,23.2088453812619,24.19,26.7539793681549,24.1142682926829,26.6684676582938,21.4536666666667,23.8062101700148,21.4536666666667,23.8062101700148
124,109.68,16.2,4.94,1.82,4.94,1.82,21.14,23.3041546861723,21.1001612903226,23.259872286447,24.26,26.8257406258157,24.1843968004196,26.7404118398627,21.5475,23.9031855092423,21.5475,23.9031855092423
125,110.58,16.25,4.94,1.83,4.94,1.83,21.19,23.3301430010614,21.15048,23.2862996478308,24.3,26.828194997287,24.2252419354839,26.7441138547223,21.4291666666667,23.7236116650088,21.4291666666667,23.7236116650088
126,111.42,16.28,4.92,1.84,4.92,1.84,21.2,23.3214284704773,21.1609523809524,23.2781438612094,24.28,26.7840203717694,24.2065498412698,26.7014512776836,21.3675,23.6203034462217,21.3675,23.6203034462217
