"Sampl","Ind","Obs","S1","S2","Q1","Q2","Jack1ab","Jack1abP","Jack1in","Jack1inP","Jack2ab","Jack2abP","Jack2in","Jack2inP","Chao1","Chao1P","Chao2","Chao2P"
42,50.54,12.19,4.97,2.26,4.97,2.26,17.16,20.2920927910335,17.0416666666667,20.1504647882045,19.87,23.638833414608,19.6751161440186,23.3982696909176,16.6380833333333,19.8644504073439,16.6380833333333,19.8644504073439
43,51.71,12.33,4.97,2.31,4.97,2.31,17.3,20.4118611899514,17.1844186046512,20.2737081241277,19.96,23.7033965697649,19.7731395348837,23.4722877633933,16.8935,20.1529021267408,16.8935,20.1529021267408
44,52.83,12.43,4.98,2.3,4.98,2.3,17.41,20.4815657410065,17.2968181818182,20.3468022645569,20.09,23.7709826635329,19.9060570824524,23.5453087951148,16.884,20.0551298017011,16.884,20.0551298017011
45,53.95,12.51,4.91,2.39,4.91,2.39,17.42,20.3953298938693,17.3108888888889,20.2659216668769,19.94,23.4945307176661,19.7707929292929,23.2865414862863,16.9608333333333,20.0748053957065,16.9608333333333,20.0748053957065
46,55.12,12.66,4.92,2.48,4.92,2.48,17.58,20.5171616569207,17.4730434782609,20.3907274510488,20.02,23.5166061058967,19.8596714975845,23.319629521533,17.0237857142857,20.094267775109,17.0237857142857,20.094267775109
47,56.38,12.77,4.87,2.57,4.87,2.57,17.64,20.4983783273324,17.5363829787234,20.3763475348957,19.94,23.3302347430841,19.7920027752081,23.1481349391051,17.0160714285714,20.0007821646599,17.0160714285714,20.0007821646599
48,57.54,12.88,4.91,2.55,4.91,2.55,17.79,20.674397506159,17.6877083333333,20.5539059803052,20.15,23.5803475386093,20.0013696808511,23.3974501105135,17.3527857142857,20.4094348929213,17.3527857142857,20.4094348929213
49,58.49,12.94,4.87,2.58,4.87,2.58,17.81,20.6380949123694,17.710612244898,20.5213558395023,20.1,23.4550241753483,19.9586989795918,23.2813247284195,17.3805714285714,20.3740995499077,17.3805714285714,20.3740995499077
50,59.64,12.98,4.82,2.58,4.82,2.58,17.8,20.5540373379108,17.7036,20.441219009845,20.04,23.2979742841435,19.9045469387755,23.1321556267749,17.360880952381,20.2732859928207,17.360880952381,20.2732859928207
51,60.96,13.11,4.86,2.59,4.86,2.59,17.97,20.7575296869703,17.8747058823529,20.6458768399265,20.24,23.5480900452402,20.1054549019608,23.3828007163847,17.6758452380952,20.6873001917242,17.6758452380952,20.6873001917242
52,62.21,13.28,4.94,2.61,4.94,2.61,18.22,21.0615390559159,18.125,20.9501562947567,20.55,23.9281648440631,20.414592760181,23.76167954113,18.0626785714286,21.1573544678654,18.0626785714286,21.1573544678654
53,63.23,13.37,4.97,2.64,4.97,2.64,18.34,21.2146704588743,18.2462264150943,21.1045544071294,20.67,24.0979232290309,20.5371552975327,23.9336487986548,18.3466071428571,21.5375012809286,18.3466071428571,21.5375012809286
54,64.52,13.48,4.96,2.69,4.96,2.69,18.44,21.2367379214925,18.3481481481481,21.1295252983446,20.71,24.0108671542335,20.5829489867226,23.8556952812695,17.9356071428571,20.921722598295,17.9356071428571,20.921722598295
55,65.79,13.6,5.01,2.68,5.01,2.68,18.61,21.4399050298753,18.5189090909091,21.3335610815728,20.94,24.2813718725117,20.8120067340067,24.1253701624709,18.1720952380952,21.193919637383,18.1720952380952,21.193919637383
56,67.05,13.81,5.11,2.75,5.11,2.75,18.92,21.8286216793425,18.82875,21.721902661688,21.28,24.7125041435089,21.1526785714286,24.5570064197712,18.3404285714286,21.3900516184497,18.3404285714286,21.3900516184497
57,68.17,13.92,5.13,2.79,5.13,2.79,19.05,21.958225866109,18.96,21.8530436666782,21.39,24.8185739264198,21.2659680451128,24.6670471371217,18.4634285714286,21.5245208570785,18.4634285714286,21.5245208570785
58,69.45,13.98,5.07,2.77,5.07,2.77,19.05,21.8514296971429,18.9625862068966,21.7498742207389,21.35,24.6355599883616,21.2301966122202,24.4906137188097,18.1775476190476,20.9896902658521,18.1775476190476,20.9896902658521
59,70.74,14.1,5.16,2.72,5.16,2.72,19.26,22.1587037451977,19.1725423728814,22.0567280033492,21.7,25.1181269877806,21.5751373465809,24.9667544600963,18.4847857142857,21.4138968804223,18.4847857142857,21.4138968804223
60,71.89,14.16,5.15,2.7,5.15,2.7,19.31,22.1840292878774,19.2241666666667,22.0840820979729,21.76,25.1527411052663,21.6367372881356,25.0034501133864,18.6516666666667,21.5899286603053,18.6516666666667,21.5899286603053
61,72.91,14.31,5.23,2.72,5.23,2.72,19.54,22.4505058582047,19.454262295082,22.3507757388302,22.05,25.4797449507694,21.9258142076503,25.329931471302,18.9001666666667,21.8641861819654,18.9001666666667,21.8641861819654
62,74.16,14.39,5.22,2.7,5.22,2.7,19.61,22.4890709766777,19.5258064516129,22.3912994202333,22.13,25.5315107098436,22.0073506081438,25.3834975242445,19.0821666666667,22.0720358768208,19.0821666666667,22.0720358768208
63,75.35,14.43,5.22,2.61,5.22,2.61,19.65,22.5136745233047,19.5671428571429,22.417577685837,22.26,25.6482749167085,22.1350460829493,25.4982607913782,19.1295,22.0833563219477,19.1295,22.0833563219477
64,76.45,14.49,5.21,2.6,5.21,2.6,19.7,22.5237299043076,19.61859375,22.4295737573209,22.31,25.6401661670268,22.1870114087302,25.4933616008565,19.1485,22.0427506772883,19.1485,22.0427506772883
65,77.73,14.53,5.14,2.64,5.14,2.64,19.67,22.3882353701913,19.5909230769231,22.2972491702021,22.17,25.354242123814,22.0539807692308,25.2166408274339,18.9946666666667,21.753748793793,18.9946666666667,21.753748793793
66,78.95,14.62,5.12,2.67,5.12,2.67,19.74,22.424509866982,19.6624242424242,22.3354108807254,22.19,25.3303303067063,22.078013986014,25.1975541532332,19.0430952380952,21.7551144647512,19.0430952380952,21.7551144647512
67,80.09,14.77,5.22,2.64,5.22,2.64,19.99,22.7716064945283,19.9120895522388,22.6818209480382,22.57,25.8399163715622,22.4538805970149,25.7018628488597,19.4402619047619,22.2769435981255,19.4402619047619,22.2769435981255
68,81.24,14.83,5.23,2.6,5.23,2.6,20.06,22.8673115636264,19.9830882352941,22.7785038327396,22.69,26.0105783218569,22.5733999122037,25.8712692179617,19.8187619047619,22.7643611016432,19.8187619047619,22.7643611016432
69,82.35,14.86,5.16,2.68,5.16,2.68,20.02,22.7306107303548,19.9452173913043,22.6446436170299,22.5,25.6862206171913,22.3916027280477,25.5570815426288,19.6348452380952,22.4585831105085,19.6348452380952,22.4585831105085
70,83.7,14.97,5.18,2.68,5.18,2.68,20.15,22.8544058705993,20.076,22.7694392238777,22.65,25.8305254226763,22.5423022774327,25.7023622150162,19.7040357142857,22.5092802219964,19.7040357142857,22.5092802219964
71,84.89,15.08,5.2,2.73,5.2,2.73,20.28,22.9717076853072,20.2067605633803,22.8877572876194,22.75,25.9055795817936,22.6450845070423,25.7810041885136,19.7465476190476,22.5292330413345,19.7465476190476,22.5292330413345
72,86.12,15.18,5.24,2.7,5.24,2.7,20.42,23.1346391613241,20.3472222222222,23.0512155251919,22.96,26.1456395608153,22.8536384976526,26.0195952363839,19.8999404761905,22.6931472807445,19.8999404761905,22.6931472807445
73,87.24,15.23,5.22,2.7,5.22,2.7,20.45,23.1175217319527,20.3784931506849,23.0357942225642,22.97,26.0881119831623,22.8659246575342,25.9654630082393,19.7974404761905,22.5009486414887,19.7974404761905,22.5009486414887
74,88.48,15.34,5.23,2.76,5.23,2.76,20.57,23.2411935028941,20.4993243243243,23.1604272875833,23.04,26.1625337060195,22.9393539429841,26.0435353972053,20.1357420634921,22.9018079626039,20.1357420634921,22.9018079626039
75,89.67,15.39,5.16,2.79,5.16,2.79,20.55,23.1696787902004,20.4812,23.0911297112247,22.92,25.9880159485715,22.8246972972973,25.8747287966934,20.235873015873,22.9725618684347,20.235873015873,22.9725618684347
76,90.74,15.43,5.11,2.82,5.11,2.82,20.54,23.1046844144213,20.4727631578947,23.0280752054076,22.83,25.828053246008,22.7391105263158,25.7200081726465,20.0987063492063,22.7671743356746,20.0987063492063,22.7671743356746
77,91.85,15.46,5.12,2.8,5.12,2.8,20.58,23.1523783973624,20.5135064935065,23.0765979885799,22.9,25.9125493194509,22.8091319207109,25.8044847448114,20.2322777777778,22.9247462097778,20.2322777777778,22.9247462097778
78,93.03,15.51,5.05,2.86,5.05,2.86,20.56,23.0559402719662,20.4952564102564,22.982373807639,22.75,25.6636270570113,22.665293040293,25.5628101830889,20.0981111111111,22.6877394700047,20.0981111111111,22.6877394700047
79,94.12,15.58,5.03,2.9,5.03,2.9,20.61,23.0540439209643,20.5463291139241,22.9819336252511,22.74,25.5781163845724,22.6586432976306,25.4817506595835,19.8251111111111,22.3018810830373,19.8251111111111,22.3018810830373
80,95.23,15.59,4.98,2.87,4.98,2.87,20.57,22.9703376610856,20.50775,22.8999212732977,22.68,25.468944982776,22.6004208860759,25.3747512107915,19.8059444444444,22.2465694235235,19.8059444444444,22.2465694235235
81,96.36,15.63,4.94,2.9,4.94,2.9,20.57,22.908877152527,20.509012345679,22.8401195572256,22.61,25.3187097955033,22.5339969135802,25.2289691524646,19.9523492063492,22.362460891677,19.9523492063492,22.362460891677
82,97.58,15.73,4.97,2.9,4.97,2.9,20.7,23.0294052039002,20.6393902439024,22.961210599268,22.77,25.4605410722509,22.6938316772057,25.3711211930397,19.9699682539683,22.3550541464046,19.9699682539683,22.3550541464046
83,98.84,15.87,5.03,2.95,5.03,2.95,20.9,23.2641736892623,20.8393975903614,23.1959519618527,22.98,25.7119541936038,22.904385836027,25.6230078775682,20.4296349206349,22.929010729107,20.4296349206349,22.929010729107
84,100.17,15.94,5.04,2.93,5.04,2.93,20.98,23.3489348985484,20.92,23.2813827204062,23.09,25.8310911233155,23.0142226047045,25.74198482287,20.5020277777778,23.0043507192882,20.5020277777778,23.0043507192882
85,101.21,15.97,5.01,2.93,5.01,2.93,20.98,23.3115549942368,20.9210588235294,23.2453108721031,23.06,25.7534582667699,22.9861778711485,25.6668268281443,20.3160992063492,22.7373603889366,20.3160992063492,22.7373603889366
86,102.35,16.05,5.05,2.9,5.05,2.9,21.1,23.4571528007613,21.0412790697674,23.3911202483534,23.25,25.9812889266561,23.1746032831737,25.8928061119524,20.5969722222222,23.0757861209186,20.5969722222222,23.0757861209186
87,103.75,16.13,5.02,2.93,5.02,2.93,21.15,23.4670356012764,21.0922988505747,23.4022744743871,23.24,25.9202339756797,23.1675394279604,25.835215771956,20.6331825396825,23.0727956660431,20.6331825396825,23.0727956660431
88,104.83,16.19,5.02,2.93,5.02,2.93,21.21,23.5255586693097,21.1529545454545,23.4615324869618,23.3,25.982749640622,23.2283672936259,25.8985667831784,20.7324761904762,23.1779847827332,20.7324761904762,23.1779847827332
89,106.06,16.24,4.99,2.92,4.99,2.92,21.23,23.5032615126512,21.1739325842697,23.4404661648807,23.3,25.9292596449818,23.2298518896833,25.8470805981541,20.6118214285714,22.9659984010419,20.6118214285714,22.9659984010419
90,107.36,16.27,4.95,2.91,4.95,2.91,21.22,23.4508143537414,21.165,23.3893225733091,23.26,25.8366046489742,23.1916367041199,25.7566852383911,20.6081547619048,22.9183606332339,20.6081547619048,22.9183606332339
91,108.66,16.32,4.95,2.85,4.95,2.85,21.27,23.4967063197735,21.2156043956044,23.4358968013813,23.37,25.9484750768269,23.3004212454212,25.8672712353347,20.7477261904762,23.0810575919658,20.7477261904762,23.0810575919658
92,109.8,16.37,4.94,2.85,4.94,2.85,21.31,23.5101392339149,21.2563043478261,23.4502190994473,23.4,25.9427466726012,23.3315074056378,25.8630546186483,20.7289404761905,23.020588149483,20.7289404761905,23.020588149483
93,111.15,16.43,4.93,2.87,4.93,2.87,21.36,23.5379753739986,21.3069892473118,23.4788990026003,23.42,25.9327169952291,23.3532129499766,25.8551050213654,20.7296547619048,22.9941394298283,20.7296547619048,22.9941394298283
94,112.73,16.51,4.92,2.85,4.92,2.85,21.43,23.5873813149562,21.3776595744681,23.5291243932767,23.5,25.99299232215,23.4336101578586,25.9158662628229,20.869369047619,23.1246611451491,20.869369047619,23.1246611451491
95,113.73,16.59,4.95,2.86,4.95,2.86,21.54,23.7052972335547,21.4878947368421,23.6473309440009,23.63,26.1307166644324,23.563679731243,26.0537794127433,20.8904523809524,23.134830859531,20.8904523809524,23.134830859531
96,114.84,16.66,4.98,2.81,4.98,2.81,21.64,23.8234415094121,21.588125,23.7657052106372,23.81,26.3351144942872,23.7418793859649,26.256292365736,21.0849523809524,23.378673877509,21.0849523809524,23.378673877509
97,116.04,16.7,4.97,2.77,4.97,2.77,21.67,23.8357976896394,21.6187628865979,23.778825428527,23.87,26.3728239613134,23.8016612972509,26.2940382171878,20.9888333333333,23.2334195837708,20.9888333333333,23.2334195837708
98,117.24,16.77,5.01,2.73,5.01,2.73,21.78,23.9658442124187,21.7288775510204,23.9089960206629,24.06,26.5904253990518,23.9899168945929,26.509771110506,21.1162619047619,23.3806770096546,21.1162619047619,23.3806770096546
99,118.4,16.83,5,2.7,5,2.7,21.83,24.0065672369247,21.7794949494949,23.9504178759646,24.13,26.6541033602884,24.0600247371676,26.5735749258542,21.1934285714286,23.4502182821564,21.1934285714286,23.4502182821564
100,119.55,16.86,4.95,2.74,4.95,2.74,21.81,23.9281949821255,21.7605,23.8733117558571,24.02,26.467759683094,23.9534232323232,26.391274887729,21.0950952380952,23.2863452073302,21.0950952380952,23.2863452073302
101,120.7,16.91,4.95,2.74,4.95,2.74,21.86,23.9758958628626,21.8109900990099,23.9215586558596,24.07,26.5178590708054,24.0040851485149,26.4420635205993,21.2089285714286,23.4138825473768,21.2089285714286,23.4138825473768
102,121.78,16.96,4.96,2.72,4.96,2.72,21.92,24.0208876670407,21.8713725490196,23.9670635943138,24.16,26.5835505177678,24.0938536206562,26.5078939232873,21.1064642857143,23.2623564640868,21.1064642857143,23.2623564640868
103,123.01,17.03,4.99,2.74,4.99,2.74,22.02,24.1371178017257,21.9715533980583,24.0834846681877,24.27,26.7132326994864,24.204205216067,26.6379196158607,21.2230357142857,23.3945110763699,21.2230357142857,23.3945110763699
104,124.14,17.03,4.94,2.73,4.94,2.73,21.97,24.0309301562284,21.9225,23.9784913059015,24.18,26.5476012496739,24.1159951456311,26.4747307925029,20.932619047619,22.9743383802769,20.932619047619,22.9743383802769
105,125.62,17.07,4.91,2.76,4.91,2.76,21.98,24.0034722728862,21.9332380952381,23.9519397649832,24.13,26.4510531978327,24.0683186813187,26.3808509468264,20.9504047619048,22.9621299629447,20.9504047619048,22.9621299629447
106,126.82,17.1,4.9,2.73,4.9,2.73,22,24.0088115654659,21.9537735849057,23.9579084546492,24.17,26.472981347793,24.1083396226415,26.4029773009469,20.9319047619048,22.9230068883867,20.9319047619048,22.9230068883867
107,128.21,17.13,4.91,2.68,4.91,2.68,22.04,24.0442445530243,21.9941121495327,23.9937493878841,24.27,26.5696589116188,24.2072403456181,26.4985991924913,21.0124047619048,23.002725994095,21.0124047619048,23.002725994095
108,129.27,17.22,4.96,2.65,4.96,2.65,22.18,24.2124164899631,22.1340740740741,24.161848129851,24.49,26.8265962005869,24.4256040152302,26.7537337144073,21.2495,23.2863356778162,21.2495,23.2863356778162
109,130.48,17.3,5.01,2.68,5.01,2.68,22.31,24.382414228747,22.2640366972477,24.3317293674401,24.64,27.0271311148004,24.5756439007815,26.9540960991635,21.4514047619048,23.5405983098872,21.4514047619048,23.5405983098872
110,131.53,17.35,4.94,2.8,4.94,2.8,22.29,24.2927465568035,22.2450909090909,24.243375455978,24.43,26.7214989299354,24.3714028356964,26.655009847806,21.2472380952381,23.2387651364329,21.2472380952381,23.2387651364329
111,132.66,17.4,4.97,2.78,4.97,2.78,22.37,24.3877851628952,22.3252252252252,24.3385520667275,24.56,26.8705448113656,24.5005831285831,26.8031989638618,21.3510238095238,23.3615647304437,21.3510238095238,23.3615647304437
112,133.98,17.44,4.95,2.79,4.95,2.79,22.39,24.3671588691336,22.3458035714286,24.3186947066252,24.55,26.802372852893,24.4919184362934,26.7369031755434,21.1945238095238,23.1240570911506,21.1945238095238,23.1240570911506
113,135.29,17.5,4.93,2.84,4.93,2.84,22.43,24.3766410618327,22.3863716814159,24.3288846400033,24.52,26.7275201264515,24.464288874842,26.6648667634368,21.1308571428571,23.0146761796749,21.1308571428571,23.0146761796749
114,136.28,17.54,4.93,2.88,4.93,2.88,22.47,24.4087751717348,22.4267543859649,24.3614680868487,24.52,26.7142324886027,24.46582906381,26.6533228797859,21.0765238095238,22.9405575267363,21.0765238095238,22.9405575267363
115,137.53,17.6,4.92,2.91,4.92,2.91,22.52,24.4311578979008,22.4772173913044,24.3844415100901,24.53,26.6837117334055,24.4773432494279,26.6247114860749,21.0452857142857,22.8749134879243,21.0452857142857,22.8749134879243
116,138.71,17.63,4.88,2.9,4.88,2.9,22.51,24.3894967766904,22.4679310344828,24.3436069002249,24.49,26.6072091889756,24.4385757121439,26.5496217605276,21.0476785714286,22.8485196436054,21.0476785714286,22.8485196436054
117,139.98,17.66,4.85,2.93,4.85,2.93,22.51,24.3650384529688,22.468547008547,24.319860283929,24.43,26.5182863721156,24.3805533451223,26.4628440737276,21.0525238095238,22.8312170170963,21.0525238095238,22.8312170170963
118,141.25,17.69,4.84,2.93,4.84,2.93,22.53,24.3723168307168,22.4889830508475,24.3276417254714,24.44,26.5103113299952,24.3912284513979,26.4557285589416,21.0255238095238,22.7881289203146,21.0255238095238,22.7881289203146
119,142.2,17.72,4.79,2.97,4.79,2.97,22.51,24.302106696496,22.4697478991597,24.2583663525083,24.33,26.3344396168258,24.2839061387267,26.2829783846786,20.8920714285714,22.5928586387085,20.8920714285714,22.5928586387085
120,143.33,17.75,4.81,2.93,4.81,2.93,22.56,24.3580073436288,22.5199166666667,24.3144607987288,24.44,26.4538388947416,24.3927948179272,26.401223935527,20.9740714285714,22.6831708025162,20.9740714285714,22.6831708025162
121,144.34,17.78,4.81,2.92,4.81,2.92,22.59,24.388121323892,22.5502479338843,24.3449298110616,24.48,26.4962544685963,24.4329393939394,26.4437719636376,21.0507380952381,22.767032740084,21.0507380952381,22.767032740084
122,145.33,17.83,4.82,2.92,4.82,2.92,22.65,24.4482039010417,22.6104918032787,24.405288250886,24.55,26.5669609660986,24.5030808833491,26.5146492355154,21.1840238095238,22.9171035896451,21.1840238095238,22.9171035896451
123,146.5,17.85,4.8,2.91,4.8,2.91,22.65,24.4370530194136,22.6109756097561,24.3946706266123,24.54,26.5456161149546,24.4937085165934,26.4939808647755,21.2079404761905,22.9333622066731,21.2079404761905,22.9333622066731
124,147.75,17.88,4.79,2.87,4.79,2.87,22.67,24.4440598723553,22.6313709677419,24.4021343989459,24.59,26.5838970731556,24.5433602150538,26.5319262595838,21.3903214285714,23.129923464127,21.3903214285714,23.129923464127
